# Standardized format: timestamp,action,coin,amount,price,portfolio_value
# Old entries filled with placeholders for missing fields
2025-05-19T23:24:04.383724,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:24:06.387614,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:24:08.392484,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:24:14.401882,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:24:16.406888,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:24:22.414791,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:24:26.421778,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:24:36.434656,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:24:40.443837,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:24:44.449732,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:24:48.456112,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:24:52.463041,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:24:58.471662,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:25:00.475939,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:25:02.480401,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:25:04.485458,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:25:08.489860,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:25:10.494038,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:25:12.498546,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:25:14.501501,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:25:20.509473,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:25:22.513888,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:25:24.517577,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:33:16.778365,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:33:22.788231,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:33:28.799980,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:33:32.807979,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:33:36.815916,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:33:38.821897,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:33:42.829815,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:33:46.838076,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:33:52.849712,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:33:58.859527,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:34:00.864818,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:34:04.872183,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:34:14.887364,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:34:24.905202,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:34:36.924520,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:34:38.930122,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:34:42.937572,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:34:46.946271,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:34:50.954343,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:34:54.962081,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:35:00.972706,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:35:04.980977,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:35:08.988340,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:35:19.005559,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:35:31.024625,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:43:40.923615,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:43:42.931116,SELL,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:43:48.946938,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:43:50.953809,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:43:54.965975,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-19T23:43:56.974092,BUY,UNKNOWN,NaN,NaN,NaN
2025-05-20T03:33:40.709141,BUY,bitcoin,0.200000,10000.00,10000.00
2025-05-20T03:33:41.746295,BUY,ethereum,0.160000,10000.00,10000.00
2025-05-20T03:33:42.785184,BUY,litecoin,0.128000,10000.00,10000.00
2025-05-20T03:33:43.824653,BUY,cardano,0.102400,10000.00,10000.00
2025-05-20T03:33:44.859039,BUY,dogecoin,0.081920,10000.00,10000.00
2025-05-20T03:33:45.888637,SELL,bitcoin,0.100000,10000.00,10000.00
2025-05-20T03:33:46.910842,SELL,ethereum,0.080000,10000.00,10000.00
2025-05-20T03:33:47.937991,SELL,litecoin,0.064000,10000.00,10000.00
2025-05-20T03:33:48.958101,SELL,cardano,0.051200,10000.00,10000.00
2025-05-20T03:33:49.988417,SELL,dogecoin,0.040960,10000.00,10000.00
2025-05-20T04:36:19.898932,BUY,bitcoin,0.132768,10000.00,10000.00
2025-05-20T04:36:20.920856,BUY,ethereum,0.106214,10000.00,10000.00
